"Player_initial_last";"tournament id";"pos";"strokes";"n_rounds";"made_cut";"sg_ott";"sg_app";"sg_arg";"sg_putt";"sg_total"
"B. Snedeker";401353231;"NA";147;2;0;0.42;-1.77;-0.84;0.13;-2.06
"B. Stuard";401353231;"69";288;4;1;-1.08;1.42;-0.61;-1.28;-1.55
"B. Todd";401353231;"26";277;4;1;-0.1;0.12;-0.18;1.37;1.2
"C. Conners";401353231;"12";275;4;1;0.38;0.96;-0.08;0.43;1.7
"C. Davis";401353231;"3";272;4;1;0.74;0.26;1.1;0.34;2.45
"C. Hadley";401353231;"NA";144;2;0;0.9;-1.21;0.82;-1.07;-0.56
"C. Hoffman";401353231;"NA";147;2;0;0.29;-0.13;-1.15;-1.08;-2.06
"C. Howell III";401353231;"NA";148;2;0;-0.52;-1.2;-0.3;-0.53;-2.56
"C. Kirk";401353231;"NA";143;2;0;1.5;1.05;-0.33;-2.28;-0.06
"C. Morikawa";401353231;"26";277;4;1;0.82;1.77;-0.69;-0.71;1.2
"C. Ortiz";401353231;"NA";145;2;0;0.16;-1.64;-0.3;0.72;-1.06
"C. Pan";401353231;"42";279;4;1;0.07;1.02;0.38;-0.78;0.7
"C. Reavie";401353231;"NA";155;2;0;-0.46;-1.23;-2.58;-1.79;-6.06
"C. Schwartzel";401353231;"54";282;4;1;0.35;-0.47;-0.17;0.24;-0.05
"C. Smith";401353231;"NA";143;2;0;0.41;1.75;-1.56;-0.66;-0.06
"C. Tringale";401353231;"12";275;4;1;0.03;0.62;0.1;0.95;1.7
"C. Villegas";401353231;"59";284;4;1;0.16;-0.44;-0.36;0.09;-0.55
"C. Young";401353231;"3";272;4;1;1.14;0.7;0.83;-0.22;2.45
"D. Berger";401353231;"21";276;4;1;0.47;1.64;-0.64;-0.02;1.45
"D. Frittelli";401353231;"66";285;4;1;-0.08;-0.68;-0.22;0.17;-0.8
"D. Ghim";401353231;"35";278;4;1;0.54;0.05;0.37;0.0;0.95
"D. Johnson";401353231;"NA";143;2;0;0.17;-0.56;0.69;-0.35;-0.06
"D. Lee";401353231;"NA";146;2;0;-0.83;-0.02;0.2;-0.91;-1.56
"D. Love III";401353231;"NA";145;2;0;-0.14;0.54;-0.68;-0.77;-1.06
"D. McCarthy";401353231;"56";283;4;1;-0.46;0.11;-0.12;0.16;-0.3
"D. Redman";401353231;"48";280;4;1;-0.89;0.79;0.03;0.52;0.45
"D. Riley";401353231;"NA";155;2;0;-1.13;-3.72;-1.18;-0.03;-6.06
"D. Willett";401353231;"51";281;4;1;-0.72;-0.39;1.41;-0.1;0.2
"E. Grillo";401353231;"NA";146;2;0;-0.21;-0.17;-0.21;-0.97;-1.56
"G. Higgo";401353231;"NA";151;2;0;-1.65;-1.61;-1.62;0.82;-4.06
"H. Higgs";401353231;"NA";143;2;0;-0.39;0.33;0.58;-0.57;-0.06
"H. Lebioda";401353231;"NA";143;2;0;-0.18;0.15;0.2;-0.23;-0.06
"H. Norlander";401353231;"NA";146;2;0;-0.22;-0.45;-0.4;-0.48;-1.56
"H. Stenson";401353231;"54";282;4;1;-0.01;0.76;0.13;-0.92;-0.05
"H. Swafford";401353231;"35";278;4;1;-0.45;0.37;-0.69;1.72;0.95
"H. Varner III";401353231;"3";272;4;1;-0.38;2.0;-0.51;1.34;2.45
"I. Poulter";401353231;"42";279;4;1;-0.98;-0.07;0.36;1.4;0.7
"J. Bramlett";401353231;"48";280;4;1;0.92;-0.4;-0.1;0.03;0.45
"J. Byrd";401353231;"70";290;4;1;-1.45;-2.12;0.88;0.64;-2.05
"J. Dahmen";401353231;"12";275;4;1;0.51;0.71;-0.55;1.02;1.7
"J. Furyk";401353231;"NA";151;2;0;-2.46;-0.75;0.11;-0.96;-4.06
"J. Hahn";401353231;"NA";143;2;0;0.02;0.08;0.35;-0.51;-0.06
"J. Herman";401353231;"56";283;4;1;0.56;-0.23;0.13;-0.75;-0.3
"J. Kokrak";401353231;"35";278;4;1;0.49;0.12;0.21;0.13;0.95
"J. Niemann";401353231;"12";275;4;1;0.52;0.4;0.16;0.62;1.7
"J. Poston";401353231;"3";272;4;1;1.05;0.22;0.7;0.48;2.45
"J. Spaun";401353231;"NA";145;2;0;0.93;-0.79;-0.72;-0.49;-1.06
"J. Spieth";401353231;"1";271;4;1;1.08;1.2;1.06;-0.64;2.7
"J. Thomas";401353231;"35";278;4;1;0.0;1.15;-0.24;0.04;0.95
"K. Hickok";401353231;"NA";148;2;0;0.15;-0.46;-0.44;-1.81;-2.56
"K. Kisner";401353231;"NA";143;2;0;-0.45;0.66;0.44;-0.71;-0.06
"K. Lee";401353231;"NA";146;2;0;0.54;-1.15;-0.25;-0.7;-1.56
"K. Na";401353231;"26";277;4;1;-0.61;1.05;0.19;0.58;1.2
"K. Streelman";401353231;"NA";146;2;0;0.09;0.31;-1.04;-0.92;-1.56
"K. Tway";401353231;"NA";144;2;0;-0.97;0.46;0.44;-0.49;-0.56
"L. Donald";401353231;"56";283;4;1;-0.29;-1.26;1.12;0.13;-0.3
"L. Glover";401353231;"48";280;4;1;0.94;0.04;0.4;-0.94;0.45
"L. Griffin";401353231;"NA";144;2;0;0.6;-0.13;-1.59;0.56;-0.56
"L. List";401353231;"NA";149;2;0;-0.26;1.81;-1.69;-2.92;-3.06
"M. Fitzpatrick";401353231;"NA";145;2;0;0.6;0.36;-0.38;-1.64;-1.06
"M. Gligic";401353231;"NA";151;2;0;-0.26;-0.68;-0.46;-2.66;-4.06
"M. Hoffmann";401353231;"NA";143;2;0;-0.15;-1.23;-0.24;1.56;-0.06
"M. Hughes";401353231;"NA";150;2;0;-1.12;-2.13;0.27;-0.57;-3.56
"M. Kuchar";401353231;"3";272;4;1;-0.01;-0.29;0.94;1.81;2.45
"M. McNealy";401353231;"26";277;4;1;0.36;0.06;0.3;0.48;1.2
"M. NeSmith";401353231;"12";275;4;1;0.14;1.43;0.32;-0.18;1.7
"M. Pereira";401353231;"26";277;4;1;0.77;0.79;0.01;-0.37;1.2
"M. Schwab";401353231;"59";284;4;1;-0.81;0.1;-0.01;0.17;-0.55
"M. Thompson";401353231;"NA";144;2;0;0.45;-0.1;-0.11;-0.81;-0.56
"M. Trainer";401353231;"NA";151;2;0;-1.27;-3.41;1.15;-0.53;-4.06
"N. Lashley";401353231;"NA";149;2;0;-1.01;-1.19;-0.81;-0.06;-3.06
"N. Taylor";401353231;"NA";146;2;0;-0.09;0.94;-1.06;-1.35;-1.56
"N. Watney";401353231;"NA";149;2;0;-1.39;-0.89;-0.41;-0.37;-3.06
"P. Cantlay";401353231;"2";271;4;1;0.6;2.17;-0.13;0.06;2.7
"P. Kizzire";401353231;"26";277;4;1;0.0;-0.17;0.7;0.67;1.2
"P. Malnati";401353231;"42";279;4;1;-0.45;0.58;0.66;-0.09;0.7
"P. Perez";401353231;"51";281;4;1;-1.32;-0.05;0.9;0.67;0.2
"R. Brehm";401353231;"NA";161;2;0;-1.11;-3.49;-1.19;-3.26;-9.06
"R. Fowler";401353231;"NA";150;2;0;-2.74;0.79;-1.12;-0.49;-3.56
"R. Henley";401353231;"NA";143;2;0;0.89;0.53;0.5;-1.98;-0.06
"R. Knox";401353231;"NA";144;2;0;0.28;-0.64;0.84;-1.03;-0.56
"R. Sloan";401353231;"59";284;4;1;-0.31;0.26;0.67;-1.18;-0.55
"R. Streb";401353231;"42";279;4;1;-0.13;0.59;-0.25;0.49;0.7
"R. Werenski";401353231;"NA";143;2;0;0.95;-1.36;0.27;0.08;-0.06
"S. Brown";401353231;"NA";143;2;0;0.08;0.01;-1.53;1.38;-0.06
"S. Cink";401353231;"68";287;4;1;-1.4;0.45;0.33;-0.68;-1.3
"S. Im";401353231;"21";276;4;1;1.16;0.73;0.55;-0.99;1.45
"S. Jaeger";401353231;"NA";151;2;0;-1.07;-1.07;-1.68;-0.24;-4.06
"S. Kang";401353231;"NA";143;2;0;-0.05;-0.81;-0.02;0.83;-0.06
"S. Kim";401353231;"42";279;4;1;0.31;0.77;0.22;-0.6;0.7
"S. Kodaira";401353231;"NA";151;2;0;0.5;-3.31;-2.03;0.78;-4.06
"S. Lowry";401353231;"3";272;4;1;-0.05;2.1;-0.47;0.86;2.45
"S. Piercy";401353231;"12";275;4;1;0.32;-0.19;0.35;1.22;1.7
"S. Ryder";401353231;"NA";143;2;0;-0.03;-0.89;-0.11;0.97;-0.06
"S. Stallings";401353231;"NA";149;2;0;-1.5;1.53;-0.98;-2.1;-3.06
"S. Straka";401353231;"3";272;4;1;0.35;0.37;1.27;0.45;2.45
"S. Theegala";401353231;"70";290;4;1;-0.13;-0.66;-0.99;-0.27;-2.05
"T. Duncan";401353231;"12";275;4;1;0.74;0.12;0.67;0.18;1.7
"T. Fleetwood";401353231;"10";273;4;1;-0.58;0.36;0.37;2.04;2.2
"T. Hatton";401353231;"26";277;4;1;-0.92;0.56;0.65;0.92;1.2
"T. Hoge";401353231;"NA";147;2;0;1.44;-1.17;-0.97;-1.36;-2.06
"T. Kanaya";401353231;"NA";148;2;0;-0.61;-1.5;-0.17;-0.27;-2.56
"T. Merritt";401353231;"12";275;4;1;0.81;-0.5;0.13;1.25;1.7
"W. Bryan";401353231;"NA";144;2;0;-1.06;-0.42;2.62;-1.69;-0.56
"W. Clark";401353231;"35";278;4;1;0.47;0.7;-0.38;0.16;0.95
"W. McGirt";401353231;"NA";144;2;0;0.2;-1.25;0.46;0.04;-0.56
"W. Simpson";401353231;"59";284;4;1;0.26;0.11;0.25;-1.18;-0.55
"A. Ancer";401353232;"NA";151;2;0;0.25;-1.39;-2.87;2.72;-1.28
"A. Scott";401353232;"48";302;4;1;-0.31;-0.6;-0.63;-0.11;-1.65
"B. Harman";401353232;"NA";149;2;0;-0.25;-1.07;0.79;0.24;-0.28
"B. Horschel";401353232;"43";296;4;1;-0.46;0.83;-0.57;0.06;-0.14
"B. Koepka";401353232;"NA";150;2;0;0.17;-0.06;1.7;-2.6;-0.78
"B. Langer";401353232;"NA";152;2;0;0.03;-0.88;-0.42;-0.5;-1.78
"B. Watson";401353232;"39";295;4;1;1.03;0.52;-0.97;-0.48;0.1
"C. Bezuidenhout";401353232;"44";297;4;1;-0.21;-0.12;-0.5;0.43;-0.4
"C. Champ";401353232;"10";288;4;1;0.83;0.86;-0.13;0.3;1.85
"C. Conners";401353232;"6";285;4;1;0.6;0.64;1.13;0.23;2.6
"C. Davis";401353232;"46";300;4;1;-0.62;0.15;-0.45;-0.22;-1.15
"C. Morikawa";401353232;"5";284;4;1;0.4;1.33;0.95;0.18;2.85
"C. Schwartzel";401353232;"10";288;4;1;-0.32;1.58;0.63;-0.04;1.85
"C. Smith";401353232;"3";283;4;1;-0.67;2.31;0.48;0.98;3.1
"C. Young";401353232;"NA";154;2;0;-0.08;-1.67;0.24;-1.27;-2.78
"D. Berger";401353232;"50";303;4;1;-0.9;-0.57;-0.03;-0.39;-1.9
"D. Johnson";401353232;"12";289;4;1;0.1;0.97;1.14;-0.61;1.6
"D. Willett";401353232;"12";289;4;1;0.28;-0.73;-0.09;2.13;1.6
"F. Couples";401353232;"NA";154;2;0;-1.1;-0.9;0.3;-1.07;-2.78
"F. Molinari";401353232;"NA";152;2;0;-0.01;0.64;-0.99;-1.42;-1.78
"G. Higgo";401353232;"NA";155;2;0;0.66;-1.43;-1.44;-1.06;-3.28
"G. Migliozzi";401353232;"NA";152;2;0;-2.49;-1.05;-0.57;2.33;-1.78
"G. Woodland";401353232;"NA";152;2;0;1.21;0.52;-0.32;-3.19;-1.78
"H. Higgs";401353232;"14";290;4;1;0.11;1.69;-0.1;-0.35;1.35
"H. Matsuyama";401353232;"14";290;4;1;0.7;0.28;1.14;-0.76;1.35
"H. Swafford";401353232;"30";293;4;1;0.07;0.29;0.07;0.17;0.6
"H. Varner III";401353232;"23";291;4;1;0.32;0.08;0.19;0.51;1.1
"J. Kokrak";401353232;"14";290;4;1;1.04;-0.7;0.53;0.49;1.35
"J. Niemann";401353232;"35";294;4;1;0.39;0.4;-0.42;-0.01;0.35
"J. Rahm";401353232;"27";292;4;1;0.49;0.06;-0.05;0.35;0.85
"J. Rose";401353232;"NA";152;2;0;-0.64;-1.55;-0.6;1.01;-1.78
"J. Spaun";401353232;"23";291;4;1;0.25;0.61;0.06;0.18;1.1
"J. Spieth";401353232;"NA";150;2;0;0.13;-1.8;1.54;-0.65;-0.78
"J. Thomas";401353232;"8";287;4;1;-0.62;1.35;0.66;0.72;2.1
"K. Kisner";401353232;"44";297;4;1;-0.8;1.17;-0.24;-0.52;-0.4
"K. Lee";401353232;"NA";149;2;0;-0.11;-0.5;0.2;0.13;-0.28
"K. Na";401353232;"14";290;4;1;-0.25;2.35;-0.26;-0.48;1.35
"L. Glover";401353232;"30";293;4;1;0.56;-0.05;0.6;-0.51;0.6
"L. Herbert";401353232;"NA";150;2;0;-0.98;-0.32;-0.84;1.36;-0.78
"L. List";401353232;"NA";152;2;0;0.92;-2.42;0.33;-0.61;-1.78
"L. Mize";401353232;"NA";155;2;0;-3.16;-1.16;-0.49;1.52;-3.28
"L. Oosthuizen";401353232;"NA";76;1;0;1.13;-1.5;-0.76;-1.04;-2.17
"L. Westwood";401353232;"14";290;4;1;-0.28;0.6;-0.64;1.67;1.35
"M. Fitzpatrick";401353232;"14";290;4;1;1.18;0.04;0.23;-0.09;1.35
"M. Homa";401353232;"48";302;4;1;-0.13;0.39;-1.03;-0.88;-1.65
"M. Hughes";401353232;"50";303;4;1;0.01;-1.36;-0.18;-0.37;-1.9
"M. Leishman";401353232;"30";293;4;1;-0.01;0.79;1.44;-1.61;0.6
"M. Weir";401353232;"NA";150;2;0;0.06;-1.09;1.47;-1.22;-0.78
"M. Wolff";401353232;"NA";159;2;0;-2.01;-2.76;-0.82;0.31;-5.28
"P. Cantlay";401353232;"39";295;4;1;0.94;0.81;-0.25;-1.39;0.1
"P. Harrington";401353232;"NA";149;2;0;0.12;0.69;0.33;-1.42;-0.28
"P. Reed";401353232;"35";294;4;1;0.04;-0.55;-0.28;1.15;0.35
"R. Henley";401353232;"30";293;4;1;0.27;0.28;-0.01;0.07;0.6
"R. Palmer";401353232;"NA";150;2;0;0.65;-1.09;-1.42;1.09;-0.78
"S. Burns";401353232;"NA";149;2;0;0.65;-0.36;-1.07;0.5;-0.28
"S. Cink";401353232;"NA";151;2;0;0.17;0.48;-0.99;-0.94;-1.28
"S. Garcia";401353232;"23";291;4;1;-0.14;1.7;-0.28;-0.17;1.1
"S. Im";401353232;"8";287;4;1;0.56;0.38;0.22;0.94;2.1
"S. Kim";401353232;"39";295;4;1;-0.74;0.34;-0.71;1.21;0.1
"S. Lowry";401353232;"3";283;4;1;1.24;-0.97;1.41;1.42;3.1
"S. Lyle";401353232;"NA";158;2;0;-1.36;-2.83;0.15;-0.74;-4.78
"S. Power";401353232;"27";292;4;1;0.66;0.46;0.0;-0.27;0.85
"S. Scheffler";401353232;"1";278;4;1;0.76;1.44;1.44;0.71;4.36
"S. Straka";401353232;"30";293;4;1;-0.38;0.04;0.25;0.7;0.6
"T. Finau";401353232;"35";294;4;1;0.6;-0.16;-0.12;0.03;0.35
"T. Fleetwood";401353232;"14";290;4;1;1.1;-0.3;0.48;0.07;1.35
"T. Gooch";401353232;"14";290;4;1;-0.1;0.23;-0.18;1.41;1.35
"T. Hatton";401353232;"52";305;4;1;-0.51;-0.69;0.18;-1.37;-2.4
"T. Hoge";401353232;"39";295;4;1;-0.25;-0.25;0.91;-0.31;0.1
"T. Kanaya";401353232;"NA";149;2;0;0.05;1.04;-0.13;-1.24;-0.28
"T. Pieters";401353232;"NA";159;2;0;-1.67;-1.09;-1.19;-1.33;-5.28
"T. Woods";401353232;"47";301;4;1;-0.13;0.23;-0.12;-1.38;-1.4
"V. Hovland";401353232;"27";292;4;1;0.44;0.59;-1.13;0.96;0.85
"V. Singh";401353232;"NA";158;2;0;-0.85;-0.56;-0.85;-2.52;-4.78
"W. Simpson";401353232;"35";294;4;1;0.52;-0.42;0.55;-0.29;0.35
"W. Zalatoris";401353232;"6";285;4;1;0.55;-0.19;0.84;1.4;2.6
"X. Schauffele";401353232;"NA";151;2;0;-0.12;-0.69;-0.59;0.12;-1.28
"Z. Johnson";401353232;"NA";149;2;0;-1.74;0.29;-0.23;1.4;-0.28
"A. Baddeley";401353273;"18";281;4;1;-0.47;-0.55;1.12;1.33;1.37
"A. Cook";401353273;"NA";144;2;0;-0.07;-0.67;0.25;-0.04;-0.51
"A. Hadwin";401353273;"4";278;4;1;0.71;1.07;0.68;-0.29;2.17
"A. Lahiri";401353273;"13";280;4;1;0.63;0.85;-0.41;0.6;1.67
"A. Long";401353273;"35";283;4;1;0.62;0.52;-0.09;-0.14;0.92
"A. Putnam";401353273;"41";284;4;1;0.18;0.31;0.16;-0.23;0.37
"A. Rai";401353273;"29";282;4;1;-0.07;0.25;0.34;0.64;1.17
"A. Schenk";401353273;"NA";144;2;0;-0.02;0.44;0.08;-0.61;-0.11
"A. Smalley";401353273;"NA";149;2;0;0.04;0.52;-0.95;-2.1;-2.36
"A. Svensson";401353273;"NA";144;2;0;0.29;-1.06;0.18;0.48;-0.11
"B. Burgoon";401353273;"NA";151;2;0;-1.67;-1.75;-0.94;0.74;-3.61
"B. Garnett";401353273;"NA";144;2;0;0.19;-1.21;1.15;0.17;0.23
"B. Grace";401353273;"NA";146;2;0;1.16;-0.24;-0.22;-1.81;-1.11
"B. Haas";401353273;"63";289;4;1;-0.61;-0.12;-0.37;0.51;-0.58
"B. Hagy";401353273;"NA";148;2;0;0.2;-2.38;-0.26;0.33;-2.11
"B. Hossler";401353273;"4";278;4;1;0.33;-0.48;0.54;1.82;2.22
"B. Martin";401353273;"63";289;4;1;0.54;-0.42;-0.9;0.19;-0.58
"B. Snedeker";401353273;"18";281;4;1;0.4;1.43;0.89;-1.29;1.42
"B. Steele";401353273;"48";285;4;1;0.77;-0.88;0.52;0.01;0.42
"B. Stuard";401353273;"NA";147;2;0;-1.2;-0.65;-0.33;0.57;-1.61
"B. Todd";401353273;"8";279;4;1;0.07;0.49;0.26;1.1;1.92
"C. Champ";401353273;"NA";145;2;0;1.49;-1.07;-0.07;-0.96;-0.61
"C. Conners";401353273;"35";283;4;1;1.02;0.54;-0.52;-0.12;0.92
"C. Hadley";401353273;"53";286;4;1;-0.41;-0.24;-0.53;1.33;0.17
"C. Hoffman";401353273;"NA";146;2;0;-0.77;-1.09;0.78;-0.02;-1.11
"C. Howell III";401353273;"4";278;4;1;1.44;0.79;0.39;-0.46;2.17
"C. Kirk";401353273;"35";283;4;1;0.21;0.4;1.03;-0.72;0.92
"C. Pan";401353273;"41";284;4;1;0.54;0.52;-0.05;-0.34;0.67
"C. Reavie";401353273;"NA";77;1;0;0.47;-1.39;-1.7;-2.64;-5.25
"C. Thompson";401353273;"NA";148;2;0;-0.38;-0.32;-0.35;-0.55;-1.7
"C. Villegas";401353273;"NA";144;2;0;0.06;0.88;0.48;-0.53;0.8
"D. Frittelli";401353273;"8";279;4;1;0.05;0.76;0.13;0.98;1.92
"D. Ghim";401353273;"NA";146;2;0;-0.15;0.04;0.72;-1.72;-1.11
"D. Lipsky";401353273;"NA";150;2;0;-1.46;0.19;-1.36;-0.48;-3.11
"D. McCarthy";401353273;"18";281;4;1;0.29;0.81;-0.28;0.6;1.42
"D. Redman";401353273;"67";290;4;1;-1.14;-0.17;-1.0;1.47;-0.83
"D. Riley";401353273;"63";289;4;1;0.31;0.27;0.29;-1.47;-0.64
"D. Wu";401353273;"NA";144;2;0;-0.86;0.15;0.12;0.52;0.04
"G. Higgo";401353273;"NA";148;2;0;0.77;-1.41;-0.58;-0.89;-2.11
"G. Migliozzi";401353273;"NA";150;2;0;-2.55;-1.18;0.42;1.32;-1.86
"G. Sigg";401353273;"41";284;4;1;0.21;-0.4;0.09;0.28;0.24
"G. Woodland";401353273;"8";279;4;1;0.15;1.52;-0.2;0.45;1.92
"H. Buckley";401353273;"NA";148;2;0;-0.54;-0.8;-1.74;0.96;-2.11
"H. Higgs";401353273;"NA";151;2;0;-0.75;-2.98;-0.24;0.36;-3.61
"H. Lebioda";401353273;"NA";151;2;0;-1.14;-1.55;1.06;-2.08;-3.77
"H. Matsuyama";401353273;"NA";74;1;0;-1.43;0.73;-1.24;-0.33;-2.25
"H. Norlander";401353273;"53";286;4;1;0.83;1.22;-0.07;-1.81;0.17
"H. Stenson";401353273;"18";281;4;1;0.28;0.24;0.59;0.31;1.42
"H. Swafford";401353273;"58";287;4;1;0.34;1.7;-1.54;-0.58;-0.08
"I. Poulter";401353273;"NA";145;2;0;0.03;1.45;-0.73;-1.37;-0.61
"J. Blixt";401353273;"NA";146;2;0;-0.13;-1.61;-0.91;1.94;-0.77
"J. Bramlett";401353273;"NA";148;2;0;0.92;1.12;-0.87;-3.27;-2.11
"J. Day";401353273;"NA";144;2;0;0.38;-0.55;0.17;-0.11;-0.11
"J. Hahn";401353273;"69";291;4;1;0.04;-0.27;-0.02;-0.84;-1.08
"J. Herman";401353273;"71";294;4;1;-0.57;-0.4;0.01;-0.88;-1.83
"J. Huh";401353273;"41";284;4;1;0.38;0.86;-0.69;0.11;0.67
"J. Poston";401353273;"41";284;4;1;0.02;0.35;-0.51;0.8;0.67
"J. Spaun";401353273;"1";275;4;1;0.65;0.7;0.82;0.75;2.92
"J. Spieth";401353273;"35";283;4;1;0.61;1.53;0.57;-1.79;0.92
"J. Vegas";401353273;"18";281;4;1;0.96;0.07;0.83;-0.44;1.42
"J. Walker";401353273;"NA";148;2;0;-1.51;-0.4;-0.26;0.04;-2.11
"K. Bradley";401353273;"8";279;4;1;-0.53;0.79;1.44;-0.24;1.47
"K. Chappell";401353273;"18";281;4;1;0.55;0.31;-0.09;0.65;1.42
"K. Hickok";401353273;"NA";145;2;0;-0.18;-0.83;-0.32;0.72;-0.61
"K. Kraft";401353273;"NA";150;2;0;-2.01;-1.19;-2.45;2.54;-3.11
"K. Lee";401353273;"NA";152;2;0;-0.38;-0.15;-1.61;-1.98;-4.11
"K. Stanley";401353273;"NA";146;2;0;0.17;0.94;-1.85;-0.36;-1.11
"K. Streelman";401353273;"18";281;4;1;0.5;-0.39;1.13;0.17;1.42
"K. Tway";401353273;"NA";76;1;0;-0.36;-1.48;-1.54;-0.88;-4.25
"L. Donald";401353273;"58";287;4;1;-0.71;0.81;-0.31;0.13;-0.08
"L. Glover";401353273;"18";281;4;1;0.69;-0.34;0.99;0.08;1.42
"L. Griffin";401353273;"53";286;4;1;-0.05;1.43;-0.15;-1.06;0.17
"L. Hodges";401353273;"NA";149;2;0;-0.13;0.5;-0.56;-2.42;-2.61
"L. List";401353273;"53";286;4;1;0.44;-0.24;0.72;-0.76;0.17
"L. Westwood";401353273;"NA";149;2;0;-2.05;-0.72;0.7;-0.54;-2.61
"M. Gligic";401353273;"NA";145;2;0;0.93;-2.59;0.7;0.82;-0.22
"M. Jones";401353273;"2";277;4;1;0.5;0.85;0.47;0.59;2.42
"M. Kuchar";401353273;"2";277;4;1;-0.14;0.42;0.27;1.86;2.42
"M. Laird";401353273;"29";282;4;1;0.93;0.18;-0.01;0.06;1.17
"M. McNealy";401353273;"35";283;4;1;0.97;1.12;-0.7;-0.48;0.92
"M. NeSmith";401353273;"NA";147;2;0;1.04;-1.85;-0.85;0.06;-1.61
"M. Pereira";401353273;"13";280;4;1;0.52;-0.13;0.57;0.71;1.67
"M. Schwab";401353273;"8";279;4;1;-0.5;0.61;1.34;0.47;1.92
"M. Trainer";401353273;"NA";145;2;0;0.26;-1.34;-0.5;0.97;-0.61
"M. Wallace";401353273;"NA";153;2;0;0.29;-3.28;0.01;-1.63;-4.61
"N. Hardy";401353273;"NA";146;2;0;0.87;-0.55;-1.12;-0.32;-1.11
"N. Lashley";401353273;"18";281;4;1;-0.06;1.51;0.6;-0.64;1.42
"N. Taylor";401353273;"NA";146;2;0;0.03;0.13;-0.42;-0.84;-1.11
"N. Watney";401353273;"NA";150;2;0;0.2;1.18;-1.78;-2.71;-3.11
"P. Barjon";401353273;"NA";147;2;0;0.58;0.77;-1.45;-1.52;-1.61
"P. Kizzire";401353273;"NA";147;2;0;0.31;0.76;-1.24;-1.44;-1.61
"P. Malnati";401353273;"41";284;4;1;0.0;-0.86;0.58;0.94;0.67
"P. Perez";401353273;"NA";144;2;0;-0.83;0.79;0.88;-0.86;-0.01
"P. Rodgers";401353273;"58";287;4;1;-0.56;0.36;0.1;-0.19;-0.28
"P. Uihlein";401353273;"69";291;4;1;-0.74;-0.04;-0.12;-0.19;-1.08
"R. Brehm";401353273;"NA";145;2;0;-0.4;-0.82;-0.38;0.99;-0.61
"R. Fowler";401353273;"NA";146;2;0;-1.28;0.27;-0.14;0.05;-1.11
"R. Hojgaard";401353273;"18";281;4;1;-0.13;-0.28;-0.11;1.93;1.42
"R. Knox";401353273;"61";288;4;1;-0.17;0.32;0.49;-0.98;-0.33
"R. Palmer";401353273;"48";285;4;1;0.04;0.77;0.23;-0.62;0.42
"R. Sloan";401353273;"53";286;4;1;-0.37;0.24;0.36;-0.06;0.17
"R. Streb";401353273;"NA";146;2;0;0.48;1.33;-0.92;-2.01;-1.11
"R. Werenski";401353273;"48";285;4;1;-0.43;0.21;-0.42;1.06;0.42
"S. Gutschewski";401353273;"18";281;4;1;-0.41;0.95;0.02;0.85;1.42
"S. Jaeger";401353273;"NA";145;2;0;-0.45;-0.99;-0.05;0.0;-1.36
"S. Kang";401353273;"NA";149;2;0;0.69;-2.81;-0.22;-0.27;-2.61
"S. Kim";401353273;"13";280;4;1;0.52;0.13;0.65;0.37;1.67
"S. Noh";401353273;"63";289;4;1;-0.66;-1.06;1.17;-0.03;-0.58
"S. Reeves";401353273;"NA";145;2;0;1.15;-2.45;0.02;0.68;-0.61
"S. Ryder";401353273;"NA";148;2;0;-0.37;-0.19;0.39;-1.85;-2.01
"S. Stallings";401353273;"13";280;4;1;-0.1;-0.24;1.04;0.97;1.67
"S. Stefani";401353273;"NA";145;2;0;-0.53;0.34;-0.72;0.29;-0.61
"S. Theegala";401353273;"67";290;4;1;-0.33;-0.59;0.37;0.04;-0.47
"T. Duncan";401353273;"NA";152;2;0;-1.0;0.05;-1.36;-1.8;-4.11
"T. Finau";401353273;"29";282;4;1;0.52;0.97;-0.85;0.52;1.17
"T. Kanaya";401353273;"NA";148;2;0;-0.15;-1.83;-0.91;0.78;-2.11
"T. Merritt";401353273;"4";278;4;1;-0.38;0.27;-0.19;2.47;2.17
"T. Moore";401353273;"NA";149;2;0;-0.17;-1.05;0.11;-1.02;-2.25
"T. Mullinax";401353273;"NA";144;2;0;1.19;-0.39;0.51;-1.42;-0.11
"V. Whaley";401353273;"29";282;4;1;0.21;-0.14;0.17;0.93;1.17
"W. Clark";401353273;"71";294;4;1;-1.0;-0.44;-0.1;-0.29;-1.83
"W. McGirt";401353273;"48";285;4;1;-0.24;-0.2;0.93;-0.07;0.42
"Z. Johnson";401353273;"13";280;4;1;-0.14;1.15;-0.2;0.86;1.67
"A. Ancer";401353255;"NA";142;2;0;0.22;-0.57;-0.73;0.29;-0.8
"A. Cook";401353255;"NA";148;2;0;-0.48;-2.52;-0.34;-0.45;-3.79
"A. Hadwin";401353255;"7";272;4;1;0.43;0.81;0.61;0.39;2.25
"A. Landry";401353255;"NA";142;2;0;0.95;-0.88;0.16;-1.03;-0.8
"A. Long";401353255;"NA";140;2;0;0.27;0.01;-0.85;0.77;0.2
"A. Noren";401353255;"12";273;4;1;0.17;-0.27;0.79;1.3;2.0
"A. Putnam";401353255;"NA";149;2;0;-0.01;-2.56;-1.28;-0.45;-4.29
"A. Schenk";401353255;"NA";147;2;0;-0.65;-0.01;-1.13;-1.51;-3.29
"A. Smalley";401353255;"NA";143;2;0;0.39;-2.27;-0.9;1.49;-1.29
